timestamp,mqtt_messages,websocket_messages,db_inserts,skipped,errors,success_rate
2025-05-14T07:32:39.486Z,1187,11191,11793,0,585,95.27
2025-05-14T07:33:09.855Z,1187,11191,11793,0,585,95.27
2025-05-14T07:33:43.300Z,1187,11191,11793,0,585,95.27
2025-05-14T07:34:13.300Z,1187,11191,11793,0,585,95.27
2025-05-14T07:34:45.267Z,1187,11191,11793,0,585,95.27
2025-05-14T07:35:17.628Z,1187,11191,11793,0,585,95.27
2025-05-14T07:35:47.630Z,1187,11191,11793,0,585,95.27
2025-05-14T07:36:18.209Z,1187,11191,11793,0,585,95.27
2025-05-14T07:36:49.067Z,1187,11191,11793,0,585,95.27
2025-05-14T07:37:23.450Z,1187,11191,11793,0,585,95.27
2025-05-14T07:37:53.705Z,1187,11191,11793,0,585,95.27
2025-05-14T07:38:29.108Z,1187,11191,11793,0,585,95.27
2025-05-14T07:39:02.190Z,1187,11191,11793,0,585,95.27
2025-05-14T07:39:36.016Z,1187,11191,11793,0,585,95.27
2025-05-14T07:40:13.611Z,1187,11191,11793,0,585,95.27
2025-05-14T07:40:43.611Z,1187,11191,11793,0,585,95.27
2025-05-14T07:41:13.659Z,1187,11191,11793,0,585,95.27
2025-05-14T07:41:43.658Z,1187,11191,11793,0,585,95.27
2025-05-14T07:42:13.663Z,1187,11191,11793,0,585,95.27
2025-05-14T07:42:43.663Z,1187,11191,11793,0,585,95.27
2025-05-14T07:43:13.677Z,1187,11191,11793,0,585,95.27
2025-05-14T07:43:43.688Z,1187,11191,11793,0,585,95.27
2025-05-14T07:44:17.064Z,1187,11191,11793,0,585,95.27
2025-05-14T07:44:47.064Z,1187,11191,11793,0,585,95.27
2025-05-14T07:45:17.079Z,1187,11191,11793,0,585,95.27
2025-05-14T07:45:47.079Z,1187,11191,11793,0,585,95.27
2025-05-14T07:46:20.761Z,1187,11191,11793,0,585,95.27
2025-05-14T07:46:50.765Z,1187,11191,11793,0,585,95.27
2025-05-14T07:47:20.766Z,1187,11191,11793,0,585,95.27
2025-05-14T07:47:50.774Z,1187,11191,11793,0,585,95.27
2025-05-14T07:48:22.059Z,1187,11191,11793,0,585,95.27
2025-05-14T07:48:59.958Z,1187,11191,11793,0,585,95.27
2025-05-14T07:49:29.959Z,1187,11191,11793,0,585,95.27
2025-05-14T07:50:01.464Z,1187,11191,11793,0,585,95.27
2025-05-14T07:50:37.599Z,1187,11191,11793,0,585,95.27
2025-05-14T07:51:08.136Z,1187,11191,11793,0,585,95.27
2025-05-14T07:51:40.917Z,1187,11191,11793,0,585,95.27
2025-05-14T07:52:12.770Z,1187,11191,11793,0,585,95.27
2025-05-14T07:52:51.400Z,1187,11191,11793,0,585,95.27
2025-05-14T07:53:23.688Z,1187,11191,11793,0,585,95.27
2025-05-14T07:54:02.032Z,1187,11191,11793,0,585,95.27
2025-05-14T07:54:32.157Z,1187,11191,11793,0,585,95.27
2025-05-14T07:55:06.749Z,1187,11191,11793,0,585,95.27
2025-05-14T07:55:42.791Z,1187,11191,11793,0,585,95.27
2025-05-14T07:56:12.851Z,1187,11191,11793,0,585,95.27
2025-05-14T07:56:51.441Z,1187,11191,11793,0,585,95.27
2025-05-14T07:57:30.158Z,1187,11191,11793,0,585,95.27
2025-05-14T07:58:00.174Z,1187,11191,11793,0,585,95.27
2025-05-14T07:58:31.080Z,1187,11191,11793,0,585,95.27
2025-05-14T07:59:06.320Z,1187,11191,11793,0,585,95.27
2025-05-14T07:59:36.560Z,1187,11191,11793,0,585,95.27
2025-05-14T08:00:10.471Z,1187,11191,11793,0,585,95.27
2025-05-14T08:00:45.817Z,1187,11191,11793,0,585,95.27
2025-05-14T08:01:15.818Z,1187,11191,11793,0,585,95.27
2025-05-14T08:01:48.500Z,1187,11191,11793,0,585,95.27
2025-05-14T08:02:22.651Z,1187,11191,11793,0,585,95.27
